text,label
"I was completely captivated. The the script was brilliant. A must-see.",positive
"One of the best films this year. The the script was excellent. A must-see.",positive
"Absolutely loved it. The the acting was excellent. A must-see.",positive
"I was completely captivated. The the direction was outstanding. A must-see.",positive
"One of the best films this year. The the special effects was amazing. A must-see.",positive
"Phenomenal from start to finish. The the acting was excellent. A must-see.",positive
"I was completely captivated. The the plot was outstanding. A must-see.",positive
"Absolutely loved it. The the direction was fantastic. A must-see.",positive
"Couldn't wait for it to end. The the editing was terrible. Avoid this one.",negative
"Overhyped and underdelivered. The the story line was boring. Avoid this one.",negative
"I would not recommend this. The the acting was confusing. Avoid this one.",negative
"Save your money. The the pacing was confusing. Avoid this one.",negative
"Complete garbage. The the direction was wooden. Avoid this one.",negative
"A total waste of time. The the story line was wooden. Avoid this one.",negative
"Save your money. The the character development was boring. Avoid this one.",negative
"Very disappointing experience. The the editing was awful. Avoid this one.",negative
"Save your money. The the dialogue was dull. Avoid this one.",negative
"Overhyped and underdelivered. The the story line was awful. Avoid this one.",negative
"Very disappointing experience. The the character development was awful. Avoid this one.",negative
"A total waste of time. The the story line was awful. Avoid this one.",negative
"Save your money. The the character development was awful. Avoid this one.",negative
"Save your money. The the direction was wooden. Avoid this one.",negative
"I would not recommend this. The the editing was weak. Avoid this one.",negative
"I would not recommend this. The the acting was dull. Avoid this one.",negative
"Complete garbage. The the character development was awful. Avoid this one.",negative
"I would not recommend this. The the pacing was awful. Avoid this one.",negative
"Couldn't wait for it to end. The the character development was awful. Avoid this one.",negative
"Complete garbage. The the pacing was wooden. Avoid this one.",negative
"Complete garbage. The the character development was awful. Avoid this one.",negative
"Overhyped and underdelivered. The the character development was awful. Avoid this one.",negative
"Overhyped and underdelivered. The the pacing was boring. Avoid this one.",negative
"Complete garbage. The the editing was terrible. Avoid this one.",negative
"A total waste of time. The the dialogue was confusing. Avoid this one.",negative
"A total waste of time. The the pacing was awful. Avoid this one.",negative
"Overhyped and underdelivered. The the dialogue was terrible. Avoid this one.",negative
"A total waste of time. The the story line was awful. Avoid this one.",negative
"I would not recommend this. The the dialogue was boring. Avoid this one.",negative
"Very disappointing experience. The the direction was wooden. Avoid this one.",negative
"I would not recommend this. The the character development was wooden. Avoid this one.",negative
"Overhyped and underdelivered. The the editing was awful. Avoid this one.",negative
"Couldn't wait for it to end. The the direction was wooden. Avoid this one.",negative
"Complete garbage. The the editing was awful. Avoid this one.",negative
"I would not recommend this. The the direction was confusing. Avoid this one.",negative
